,entry,KEGG,PubChem,CID,SMILES
1193,1.5.1.21,C00148,3448,145742,C1C[C@H](NC1)C(=O)O
1196,1.5.1.43,C18174,96024390,44229223,C(CN)CNCCC(C(=O)O)N
1198,1.5.1.43,C00441,3730,439235,C(C=O)[C@@H](C(=O)O)N
1199,1.5.1.43,C00134,3434,1045,C(CCN)CN
1204,1.5.1.43,C00986,4233,428,C(CN)CN
1207,1.5.1.43,C18172,96024388,46174065,C(CCNCCC(C(=O)O)N)CN
1209,1.5.3.12,C05316,7698,440631,CN1CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C(=C4)OC)OCO6)OC)OCO3
1051,1.5.3.12,C05191,7596,124069,CN1CC2=C(C=CC3=C2OCO3)C4=C1C5=CC6=C(C=C5C=C4)OCO6
1053,1.5.3.12,C06162,8418,5154,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6
1049,1.5.3.12,C05194,7599,440589,CN1CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
1210,1.5.3.12,C06165,8420,440929,C[N+]1=CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C(=C4)OC)OCO6)OC)OCO3
1055,1.5.3.12,C06327,8563,161243,C[N+]1=CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
1213,1.5.3.13,C00315,3609,1102,C(CCNCCCN)CN
1222,1.5.3.13,C02567,5564,916,CC(=O)NCCCNCCCCNCCCN
1220,1.5.3.13,C00612,3886,496,CC(=O)NCCCNCCCCN
1200,1.5.3.13,C00134,3434,1045,C(CCN)CN
1211,1.5.3.13,C18170,96024386,5460495,CC(=O)NCCC=O
1201,1.5.3.17,C00134,3434,1045,C(CCN)CN
1212,1.5.3.17,C18170,96024386,5460495,CC(=O)NCCC=O
1214,1.5.3.17,C00315,3609,1102,C(CCNCCCN)CN
1221,1.5.3.17,C00612,3886,496,CC(=O)NCCCNCCCCN
1225,1.5.3.17,C05665,7975,75,C(CN)C=O
1224,1.5.3.17,C00750,4012,1103,C(CCNCCCN)CNCCCN
1223,1.5.3.17,C02567,5564,916,CC(=O)NCCCNCCCCNCCCN
1228,1.5.3.5,C01297,4515,439476,CNCCCC(=O)C1=CNC(=O)C=C1
1230,1.5.3.5,C01056,4296,439383,CN1CCC[C@H]1C2=CNC(=O)C=C2
1226,1.5.3.5,C21075,295369337,52944012,CN1CCC=C1C2=CNC(=O)C=C2
1229,1.5.3.6,C01297,4515,439476,CNCCCC(=O)C1=CNC(=O)C=C1
1231,1.5.3.6,C03043,5946,439886,CN1CCC[C@@H]1C2=CNC(=O)C=C2
1227,1.5.3.6,C21075,295369337,52944012,CN1CCC=C1C2=CNC(=O)C=C2
